Run Date,Action,Symbol,Description,Quantity,Price ($),Amount ($),Settlement Date
7/25/25,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,195.97,
7/25/25,DIVIDEND RECEIVED NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,0,,108.51,
7/23/25,YOU BOUGHT TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,844,6.3,-5317.2,7/24/25
7/18/25,DIVIDEND RECEIVED TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,0,,16.56,
7/18/25,YOU BOUGHT TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,3,6.39,-19.17,7/21/25
7/17/25,DIVIDEND RECEIVED HEWLETT PACKARD ENTERPRISE CO COM (HPE) (Cash),HPE,HEWLETT PACKARD ENTERPRISE CO COM,0,,7.15,
7/14/25,YOU BOUGHT TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,160,6.28,-1004.8,7/15/25
7/14/25,YOU BOUGHT TIDAL TR II YIELDMAX MSTR OP (MSTY) (Cash),MSTY,TIDAL TR II YIELDMAX MSTR OP,45,22.47,-1011.15,7/15/25
7/8/25,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,193.27,
7/1/25,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,3,51.6,-154.8,7/2/25
7/1/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,2,58.9,-117.8,7/2/25
6/30/25,DIVIDEND RECEIVED SCHWAB US DIVIDEND EQUITY ETF (SCHD) (Cash),SCHD,SCHWAB US DIVIDEND EQUITY ETF,0,,15.61,
6/30/25,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,1,51.9,-51.9,7/1/25
6/27/25,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,190.87,
6/27/25,DIVIDEND RECEIVED NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,0,,100.27,
6/12/25,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,3,51.44,-154.33,6/13/25
6/12/25,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0.718,51.45,-36.94,6/13/25
6/12/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,1,61.13,-61.13,6/13/25
6/12/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,0.735,61.04,-44.86,6/13/25
6/12/25,YOU BOUGHT HEWLETT PACKARD ENTERPRISE CO COM (HPE) (Cash),HPE,HEWLETT PACKARD ENTERPRISE CO COM,55,18,-990,6/13/25
6/10/25,YOU BOUGHT PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,10,21.82,-218.16,6/11/25
6/10/25,YOU BOUGHT PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0.879,21.82,-19.18,6/11/25
6/6/25,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,237.34,
5/23/25,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,191.29,
5/23/25,DIVIDEND RECEIVED NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,0,,106.02,
5/14/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,23,59.6,-1370.8,5/15/25
5/13/25,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,40,50.53,-2021.2,5/14/25
5/8/25,YOU SOLD PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,-500,21.5,10749.7,5/9/25
5/7/25,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,402.02,
5/7/25,YOU BOUGHT SCHWAB US DIVIDEND EQUITY ETF (SCHD) (Cash),SCHD,SCHWAB US DIVIDEND EQUITY ETF,60,25.6,-1536,5/8/25
5/7/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,7,56.54,-395.78,5/8/25
5/1/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,25,56.35,-1408.75,5/2/25
4/25/25,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,138.09,
4/25/25,DIVIDEND RECEIVED NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,0,,18.89,
4/8/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,5,47.29,-236.45,4/9/25
4/7/25,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,266.42,
4/4/25,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,29,43.65,-1265.85,4/7/25
3/31/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,3,50,-150,4/1/25
3/28/25,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,135.59,
3/26/25,YOU BOUGHT NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,7,52.14,-364.98,3/27/25
